#,Dato,Fuente,Destino,Latencia(s),AnchoBanda(Gbps),Tiempo envio(s),Tiempo recibido (s)
1,48,0,1,480,0.050000, 45,525
2,02,1,3,740,0.032432, 65,805
3,40,2,1,1010,0.023762, 75,1085
4,e2,3,1,1250,0.019200,115,1365
5,94,0,2,1630,0.014724,165,1795
6,c6,1,3,1900,0.012632,175,2075
7,11,2,1,2210,0.010860,145,2355
8,da,3,2,2430,0.009877,205,2635
9,ee,0,3,2490,0.009639,575,3065
10,09,1,2,2420,0.009917,925,3345
11,11,2,1,2200,0.010909,1425,3625
12,00,0,2,2480,0.009677,1855,4335
13,63,1,3,2430,0.009877,2185,4615
14,f0,3,0,2410,0.009959,2765,5175
15,1a,0,3,2420,0.009917,3185,5605
16,63,1,3,1490,0.016107,4395,5885
17,8a,3,0,2460,0.009756,3985,6445
18,11,2,1,2140,0.011215,5295,7435
19,c5,0,2,2440,0.009836,5705,8145
20,63,1,3,1450,0.016552,6975,8425
