#,Dato,Fila,Columna,Fuente,Latencia (ns), Ancho de Banda (Gbps)
  1,78653,0,2,13,220,0.182
  2,7ab78,3,5,4,270,0.148
  3,61958,0,4,2,210,0.190
  4,6665d,2,5,5,220,0.182
  5,25d5f,5,2,14,300,0.133
  6,75a62,4,5,11, 80,0.500
  7,65780,0,4,15,400,0.100
  8,09a5f,5,4,10,220,0.182
  9,21441,1,5,10,440,0.091
 10,4517d,5,3,6,505,0.079
 11,08e13,0,1,10,390,0.103
 12,0c731,4,0,9,340,0.118
 13,59533,5,4,7,470,0.085
 14,26972,0,3,9,520,0.077
 15,731e5,5,3,9,585,0.068
 16,6e39c,2,0,0,400,0.100
 17,560a7,0,1,2,635,0.063
 18,1c8b9,5,4,15,140,0.286
 19,4b18d,5,3,11,170,0.235
 20,2b2ab,3,5,15,430,0.093
 21,06382,3,0,3,630,0.063
 22,45251,5,1,1,610,0.066
 23,3df3c,2,0,7,280,0.143
 24,7627b,0,3,1,330,0.121
 25,17951,5,3,14,210,0.190
 26,1092e,2,0,4,775,0.052
 27,7048b,0,3,15,640,0.062
 28,5c56c,5,3,13,620,0.065
 29,1d5f0,4,5,7,580,0.069
 30,20c1c,2,5,14,520,0.077
 31,1a665,0,3,1,845,0.047
 32,41c1f,1,5,6,790,0.051
 33,74b52,2,0,6,360,0.111
 34,77fad,0,4,2,150,0.267
 35,6d3a0,2,0,9,470,0.085
 36,7fbc9,0,2,10,995,0.040
 37,11591,5,1,13,1045,0.038
 38,4b03e,3,5,15,250,0.160
 39,18a5c,5,3,15,400,0.100
 40,2a533,1,5,8,880,0.045
 41,0cfea,5,4,8,760,0.053
 42,30dd9,5,1,1,960,0.042
 43,4e50c,5,2,4,480,0.083
 44,2e6b2,2,0,1,1095,0.037
 45,2b062,2,5,0,800,0.050
 46,5800d,0,4,14,440,0.091
 47,47e4c,5,3,9,1145,0.035
 48,5a155,2,0,6,470,0.085
 49,7048b,0,3,15,1060,0.038
 50,0f02b,5,2,5,970,0.041
 51,0acdd,5,1,14,1100,0.036
 52,6cffc,0,2,2,1255,0.032
 53,454c5,2,5,8,850,0.047
 54,36347,5,2,2,670,0.060
 55,0816c,5,3,2,1325,0.030
 56,512c3,5,4,10,1365,0.029
 57,346cd,5,2,7,590,0.068
 58,51d99,3,0,10,1405,0.028
 59,50b95,2,0,11,1280,0.031
 60,604fd,5,2,4,630,0.063
 61,0572b,1,0,6,660,0.061
 62,4e777,5,2,5,1140,0.035
 63,78f9f,3,5,7,1050,0.038
 64,1b1d3,4,5,5,930,0.043
 65,62117,1,5,9,1545,0.026
 66,6c265,2,0,9,610,0.066
 67,604fd,5,2,4,790,0.051
 68,54d2e,3,0,13,1585,0.025
 69,485f7,5,3,1,940,0.043
 70,3373b,0,3,13,1615,0.025
 71,57a34,0,1,15,1170,0.034
 72,41371,0,4,13,1625,0.025
 73,6bf4b,3,0,9,830,0.048
 74,18a53,5,3,6,290,0.138
 75,11168,2,5,8,870,0.046
 76,103cc,4,5,4,1685,0.024
 77,640a8,2,0,10,1695,0.024
 78,5fd54,5,2,8,690,0.058
 79,248f6,0,3,11,1735,0.023
 80,4857c,5,2,1,730,0.055
 81,4a19f,0,1,14,1745,0.023
 82,391e0,0,3,8,910,0.044
 83,61610,5,1,0,1260,0.032
 84,603d9,1,0,7,840,0.048
 85,3148e,4,5,2,1785,0.022
 86,4cc83,5,4,1,940,0.043
 87,1d6b7,5,1,11,1250,0.032
 88,606bc,2,0,9,1835,0.022
 89,1514f,5,2,5,1300,0.031
 90,73923,0,4,14,1845,0.022
 91,5c6f8,3,5,15,1845,0.022
 92,4299f,0,3,11,1160,0.034
 93,2b7b9,2,0,6,880,0.045
 94,1da8c,3,0,10,1885,0.021
 95,47ff2,4,0,3,1750,0.023
 96,01a64,2,5,9,1915,0.021
 97,1ebe9,5,3,2,1925,0.021
 98,3b9a1,2,0,4,920,0.043
 99,53af2,4,5,5,1000,0.040
100,722fe,3,0,4,1080,0.037
101,24621,4,0,3,1670,0.024
102,289b2,5,2,6,790,0.051
103,00573,0,4,10,2045,0.020
104,29ba6,4,5,2,2045,0.020
105,394ed,4,0,10,2045,0.020
106,4f6e8,2,0,3,1640,0.024
107,0cba3,0,1,10,2085,0.019
108,538db,5,3,14,1050,0.038
109,1e4bc,5,2,4,1630,0.025
110,5f120,5,1,2,2105,0.019
111,72f4a,2,0,9,760,0.053
112,0e14c,4,0,1,1040,0.038
113,3619e,3,5,10,2165,0.018
114,68801,2,5,7,1530,0.026
115,5c800,0,1,14,2205,0.018
116,0697f,5,1,13,2205,0.018
117,6bdcd,0,3,11,1030,0.039
118,3d6a5,2,0,3,1680,0.024
119,1450e,1,5,15,2245,0.018
120,3682c,2,5,7,1020,0.039
121,7b97a,0,3,7,1180,0.034
122,0c60c,5,3,15,2285,0.018
123,73505,0,2,10,2305,0.017
124,4f8ae,0,1,10,2315,0.017
125,0428e,1,0,7,1020,0.039
126,1a8a1,3,0,12,1800,0.022
127,74c1b,3,0,11,1340,0.030
128,7ed3e,5,1,2,2445,0.016
129,4ee02,0,1,7,2485,0.016
130,568ef,3,0,2,2505,0.016
131,51a9a,4,0,13,2545,0.016
132,1cc7f,5,2,15,2555,0.016
133,1d433,0,1,10,2605,0.015
134,5377f,0,1,15,1650,0.024
135,76520,0,1,15,2875,0.014
